Send	5	Receive	7.45501	delay	2.45501	Index	1	OverHead	Hop	17	
Send	7.45501	Receive	7.64636	delay	0.191345	Index	2	OverHead	Hop	18	
Send	7.64636	Receive	7.80101	delay	0.154656	Index	3	OverHead	Hop	17	
Send	7.80101	Receive	7.95652	delay	0.155511	Index	4	OverHead	Hop	17	
Send	7.95652	Receive	8.16432	delay	0.207798	Index	5	OverHead	Hop	18	
Send	8.16432	Receive	8.37401	delay	0.209689	Index	6	OverHead	Hop	18	
Send	8.37401	Receive	12.2015	delay	3.82745	Index	7	OverHead	Hop	21	
Send	12.2015	Receive	12.8321	delay	0.630654	Index	8	OverHead	Hop	20	
Send	12.8321	Receive	13.1129	delay	0.280778	Index	9	OverHead	Hop	20	
Send	13.1129	Receive	13.3959	delay	0.282989	Index	10	OverHead	Hop	20	
Send	13.3959	Receive	13.6811	delay	0.285243	Index	11	OverHead	Hop	20	
Send	13.6811	Receive	13.9687	delay	0.287576	Index	12	OverHead	Hop	20	
Send	13.9687	Receive	14.0891	delay	0.120383	Index	13	OverHead	Hop	16	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	14.0891	delay	0.120383	Index	14	OverHead	Hop	0	
Send	14.0891	Send	14.0891	Receive	14.2089	delay	0.119858	Index	15	OverHead	Hop	16	
Send	14.2089	Receive	14.3282	delay	0.119266	Index	16	OverHead	Hop	16	
Send	14.3282	Receive	14.4469	delay	0.118676	Index	17	OverHead	Hop	16	
Send	14.4469	Receive	14.565	delay	0.11809	Index	18	OverHead	Hop	16	
Send	14.565	Receive	14.6828	delay	0.117791	Index	19	OverHead	Hop	16	
Send	14.6828	Receive	14.8142	delay	0.131453	Index	20	OverHead	Hop	17	
Send	14.8142	Receive	14.9524	delay	0.138135	Index	21	OverHead	Hop	17	
Send	14.9524	Receive	17.4565	delay	2.50419	Index	22	OverHead	Hop	18	
Send	17.4565	Receive	17.6594	delay	0.202886	Index	23	OverHead	Hop	18	
Send	17.6594	Receive	17.8639	delay	0.204452	Index	24	OverHead	Hop	18	
Send	17.8639	Receive	18.07	delay	0.206137	Index	25	OverHead	Hop	18	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	18.07	delay	0.206137	Index	26	OverHead	Hop	0	
Send	18.07	Send	18.07	Receive	18.2778	delay	0.207802	Index	27	OverHead	Hop	18	
Send	18.2778	Receive	18.4873	delay	0.209463	Index	28	OverHead	Hop	18	
Send	18.4873	Receive	18.6989	delay	0.211659	Index	29	OverHead	Hop	18	
Send	18.6989	Receive	18.9123	delay	0.213376	Index	30	OverHead	Hop	18	
Send	18.9123	Receive	19.193	delay	0.280681	Index	31	OverHead	Hop	20	
Send	19.193	Receive	19.4722	delay	0.279235	Index	32	OverHead	Hop	20	
Send	19.4722	Receive	19.7502	delay	0.278011	Index	33	OverHead	Hop	20	
Send	19.7502	Receive	20.0266	delay	0.276331	Index	34	OverHead	Hop	20	
Send	20.0266	Receive	20.3015	delay	0.274886	Index	35	OverHead	Hop	20	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	20.3015	delay	0.274886	Index	36	OverHead	Hop	0	
Send	20.3015	Send	20.3015	Receive	22.3554	delay	2.05398	Index	37	OverHead	Hop	19	
Send	22.3554	Receive	22.5083	delay	0.15283	Index	38	OverHead	Hop	18	
Send	22.5083	Receive	22.6622	delay	0.153962	Index	39	OverHead	Hop	18	
Send	22.6622	Receive	22.8175	delay	0.155252	Index	40	OverHead	Hop	18	
Send	22.8175	Receive	22.9739	delay	0.15638	Index	41	OverHead	Hop	18	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	22.9739	delay	0.15638	Index	42	OverHead	Hop	0	
Send	22.9739	Send	22.9739	Receive	23.1315	delay	0.157622	Index	43	OverHead	Hop	18	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	23.1315	delay	0.157622	Index	44	OverHead	Hop	0	
Send	23.1315	Send	23.1315	Receive	23.3177	delay	0.186219	Index	45	OverHead	Hop	18	
Send	23.3177	Receive	23.4399	delay	0.122189	Index	46	OverHead	Hop	16	
Send	23.4399	Receive	23.5616	delay	0.121683	Index	47	OverHead	Hop	16	
Send	23.5616	Receive	23.6826	delay	0.121051	Index	48	OverHead	Hop	16	
Send	23.6826	Receive	23.7753	delay	0.0926262	Index	49	OverHead	Hop	16	
Send	23.7753	Receive	23.8673	delay	0.0920477	Index	50	OverHead	Hop	16	
Send	23.8673	Receive	23.9588	delay	0.0915363	Index	51	OverHead	Hop	16	
Send	23.9588	Receive	24.0499	delay	0.0910295	Index	52	OverHead	Hop	16	
Send	24.0499	Receive	24.1404	delay	0.0905307	Index	53	OverHead	Hop	16	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	24.1404	delay	0.0905307	Index	54	OverHead	Hop	0	
Send	24.1404	Send	24.1404	Receive	24.2304	delay	0.0900329	Index	55	OverHead	Hop	16	
Send	24.2304	Receive	24.32	delay	0.0896017	Index	56	OverHead	Hop	16	
Send	24.32	Receive	24.4091	delay	0.0891076	Index	57	OverHead	Hop	16	
Send	24.4091	Receive	24.4977	delay	0.0885408	Index	58	OverHead	Hop	16	
hittttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt---------------------18
Receive	24.4977	delay	0.0885408	Index	59	OverHead	Hop	0	
Send	24.4977	Send	24.4977	Receive	24.586	delay	0.0882723	Index	60	OverHead	Hop	16	
